index,name,x_coor,y_coor
0,Loblaws,43.7071886,-79.3944016
1,Loblaws,43.7355237,-79.4044974
2,Loblaws,43.696551,-79.370546
3,Loblaws,43.699149,-79.359698
4,Loblaws,43.68842,-79.39351
5,Loblaws,43.6619639,-79.3796003
6,Loblaws,43.6838889,-79.4158333
7,Loblaws,43.6720953,-79.4209754
8,Loblaws,43.6751167,-79.358417
9,Loblaws,43.7687506,-79.3872399
10,Loblaws,43.7688423,-79.4122386
11,Loblaws,43.647082,-79.401825
12,Loblaws,43.6444862,-79.369677
13,Loblaws,43.660996,-79.328281
14,Loblaws,43.655138,-79.449275
15,Loblaws,43.6881046,-79.2885141
16,Loblaws,43.665576,-79.495369
17,Loblaws,43.843196,-79.410774
18,Loblaws,43.6615135,-79.5197696
19,Loblaw pharmacy,43.6990972,-79.3597232
20,Loblaw pharmacy,43.7354053,-79.4041336
21,Loblaw,43.636951,-79.4234889
22,Loblaws Great Food,43.6839909,-79.4150756
23,Loblaw pharmacy,43.7171872,-79.44703
24,Loblaw pharmacy,43.7685073,-79.3868677
25,Loblaw pharmacy,43.7226595,-79.3376213
26,Loblaw pharmacy,43.72648,-79.2997805
27,Theodore & Pringle Optical in Loblaws,43.6990972,-79.3597232
28,Loblaw pharmacy,43.684148,-79.415339
29,Loblaw pharmacy,43.7688654,-79.4121922
30,Loblaw pharmacy,43.6721783,-79.4206291
31,Ziggy's Counter Deli-Loblaws,43.6610882,-79.5189788
32,Theodore & Pringle Optical in Loblaws,43.6885028,-79.2882397
33,Theodore & Pringle Optical in Loblaws,43.7687506,-79.3872399
34,Loblaw pharmacy,43.6885028,-79.2882397
35,Loblaw pharmacy,43.6550749,-79.4495274
36,Loblaw pharmacy,43.6621288,-79.3801472
37,Loblaw Digital,43.6389933,-79.4200293
38,Theodore & Pringle Optical in Loblaws,43.6445862,-79.3700423
39,Loblaw pharmacy,43.6473554,-79.4016963
40,Theodore & Pringle Optical in Loblaws,43.6608701,-79.3284242
41,Theodore & Pringle Optical in Loblaws,43.6841477,-79.4153394
42,Loblaw pharmacy,43.8433054,-79.4103833
43,Theodore & Pringle Optical in Loblaws,43.8441194,-79.4112124
44,Loblaw pharmacy,43.77852,-79.2627869
45,Loblaw pharmacy,43.6608685,-79.3284221
46,Loblaw pharmacy,43.7573743,-79.231263
47,Loblaw pharmacy,43.7852968,-79.4718491
48,Loblaw pharmacy,43.7945801,-79.4220426
49,Loblaw pharmacy,43.668421,-79.342507
50,Loblaw pharmacy,43.6512787,-79.3662423
51,Loblaw pharmacy,43.6562242,-79.4355773
52,Loblaw pharmacy,43.632039,-79.5190912
53,Real Canadian Superstore,43.7227042,-79.3375083
54,Bloor Street Market,43.6686807,-79.3878876
55,George's Independent City Market,43.7252865,-79.4026426